itemid,description,itemparent
mxcfdi,Emisión de CFDI,\0
mxcfdi.config,Configuración de emisores,mxcfdi
GX90,Configurar emisores,mxcfdi.config
GX91,Agregar configuración de emisor,mxcfdi.config
GX92,Editar configuración de emisor,mxcfdi.config
GX93,Eliminar configuración de emisor,mxcfdi.config
mxcfdi.emision,Emisión de CFDI,mxcfdi
GX10,Consultar CFDI emitidos,mxcfdi.emision
GX21,Emitir CFDI por factura de venta,mxcfdi.emision
GX22,Emitir CFDI por nota de devolución de venta,mxcfdi.emision
GX31,Emitir CFDI por notas de cargo,mxcfdi.emision
GX32,Emitir CFDI por cobros,mxcfdi.emision
GX33,Emitir CFDI por bonificaciones,mxcfdi.emision
GX34,Importar CFDI de compra,mxcfdi.emision
